"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 19 12:48:53 GMT 2023","Wed Jul 19 12:48:53 GMT 2023","295","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:48:24 GMT 2023","Wed Jul 19 12:48:24 GMT 2023","143","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"broken","Wed Jul 19 12:48:45 GMT 2023","Wed Jul 19 12:48:45 GMT 2023","443","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:48:26 GMT 2023","Wed Jul 19 12:48:27 GMT 2023","450","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:48:50 GMT 2023","Wed Jul 19 12:48:51 GMT 2023","326","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:48:39 GMT 2023","Wed Jul 19 12:48:40 GMT 2023","202","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:48:32 GMT 2023","Wed Jul 19 12:48:32 GMT 2023","317","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:48:23 GMT 2023","Wed Jul 19 12:48:24 GMT 2023","474","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"passed","Wed Jul 19 12:48:24 GMT 2023","Wed Jul 19 12:48:24 GMT 2023","135","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
"passed","Wed Jul 19 12:48:24 GMT 2023","Wed Jul 19 12:48:24 GMT 2023","131","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar status code","Validar status code",""
"broken","Wed Jul 19 12:48:42 GMT 2023","Wed Jul 19 12:48:42 GMT 2023","308","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:48:24 GMT 2023","Wed Jul 19 12:48:24 GMT 2023","142","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar status code","Validar status code",""
"broken","Wed Jul 19 12:48:34 GMT 2023","Wed Jul 19 12:48:35 GMT 2023","325","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:48:29 GMT 2023","Wed Jul 19 12:48:29 GMT 2023","311","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:48:37 GMT 2023","Wed Jul 19 12:48:37 GMT 2023","223","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:48:48 GMT 2023","Wed Jul 19 12:48:48 GMT 2023","375","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:48:24 GMT 2023","Wed Jul 19 12:48:24 GMT 2023","148","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
