"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 18 20:00:18 GMT 2023","Tue Jul 18 20:00:18 GMT 2023","128","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar status code","Validar status code",""
"broken","Tue Jul 18 20:00:38 GMT 2023","Tue Jul 18 20:00:39 GMT 2023","293","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:00:33 GMT 2023","Tue Jul 18 20:00:34 GMT 2023","192","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 20:00:36 GMT 2023","Tue Jul 18 20:00:36 GMT 2023","283","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 20:00:46 GMT 2023","Tue Jul 18 20:00:47 GMT 2023","327","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:00:18 GMT 2023","Tue Jul 18 20:00:18 GMT 2023","137","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"broken","Tue Jul 18 20:00:41 GMT 2023","Tue Jul 18 20:00:41 GMT 2023","281","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 20:00:21 GMT 2023","Tue Jul 18 20:00:21 GMT 2023","402","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 20:00:28 GMT 2023","Tue Jul 18 20:00:29 GMT 2023","329","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:00:18 GMT 2023","Tue Jul 18 20:00:18 GMT 2023","129","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
"broken","Tue Jul 18 20:00:26 GMT 2023","Tue Jul 18 20:00:26 GMT 2023","312","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:00:18 GMT 2023","Tue Jul 18 20:00:19 GMT 2023","121","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar status code","Validar status code",""
"passed","Tue Jul 18 20:00:17 GMT 2023","Tue Jul 18 20:00:18 GMT 2023","496","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"broken","Tue Jul 18 20:00:44 GMT 2023","Tue Jul 18 20:00:44 GMT 2023","284","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:00:19 GMT 2023","Tue Jul 18 20:00:19 GMT 2023","144","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"broken","Tue Jul 18 20:00:23 GMT 2023","Tue Jul 18 20:00:23 GMT 2023","302","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:00:31 GMT 2023","Tue Jul 18 20:00:31 GMT 2023","199","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
