"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 19 12:41:36 GMT 2023","Wed Jul 19 12:41:36 GMT 2023","368","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:41:04 GMT 2023","Wed Jul 19 12:41:04 GMT 2023","163","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar status code","Validar status code",""
"broken","Wed Jul 19 12:41:30 GMT 2023","Wed Jul 19 12:41:31 GMT 2023","382","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:41:04 GMT 2023","Wed Jul 19 12:41:04 GMT 2023","166","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
"broken","Wed Jul 19 12:41:15 GMT 2023","Wed Jul 19 12:41:16 GMT 2023","368","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:41:03 GMT 2023","Wed Jul 19 12:41:03 GMT 2023","676","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"broken","Wed Jul 19 12:41:28 GMT 2023","Wed Jul 19 12:41:28 GMT 2023","350","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:41:10 GMT 2023","Wed Jul 19 12:41:10 GMT 2023","370","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:41:07 GMT 2023","Wed Jul 19 12:41:07 GMT 2023","487","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:41:25 GMT 2023","Wed Jul 19 12:41:25 GMT 2023","461","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:41:21 GMT 2023","Wed Jul 19 12:41:22 GMT 2023","300","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:41:33 GMT 2023","Wed Jul 19 12:41:34 GMT 2023","361","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:41:04 GMT 2023","Wed Jul 19 12:41:04 GMT 2023","177","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"passed","Wed Jul 19 12:41:18 GMT 2023","Wed Jul 19 12:41:19 GMT 2023","250","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:41:04 GMT 2023","Wed Jul 19 12:41:04 GMT 2023","169","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar status code","Validar status code",""
"passed","Wed Jul 19 12:41:04 GMT 2023","Wed Jul 19 12:41:04 GMT 2023","183","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"broken","Wed Jul 19 12:41:13 GMT 2023","Wed Jul 19 12:41:13 GMT 2023","335","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
