"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 13:09:49 GMT 2023","Wed Jul 19 13:09:50 GMT 2023","941","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:09:44 GMT 2023","Wed Jul 19 13:09:44 GMT 2023","133","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar status code","Validar status code",""
"passed","Wed Jul 19 13:09:43 GMT 2023","Wed Jul 19 13:09:44 GMT 2023","480","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"passed","Wed Jul 19 13:10:00 GMT 2023","Wed Jul 19 13:10:01 GMT 2023","212","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:09:55 GMT 2023","Wed Jul 19 13:09:56 GMT 2023","849","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:09:52 GMT 2023","Wed Jul 19 13:09:52 GMT 2023","285","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:09:46 GMT 2023","Wed Jul 19 13:09:47 GMT 2023","241","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:09:44 GMT 2023","Wed Jul 19 13:09:44 GMT 2023","136","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"passed","Wed Jul 19 13:10:06 GMT 2023","Wed Jul 19 13:10:06 GMT 2023","755","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:10:08 GMT 2023","Wed Jul 19 13:10:09 GMT 2023","255","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:09:44 GMT 2023","Wed Jul 19 13:09:44 GMT 2023","124","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar status code","Validar status code",""
"passed","Wed Jul 19 13:09:58 GMT 2023","Wed Jul 19 13:09:58 GMT 2023","203","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:10:03 GMT 2023","Wed Jul 19 13:10:03 GMT 2023","245","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:09:44 GMT 2023","Wed Jul 19 13:09:44 GMT 2023","131","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
"passed","Wed Jul 19 13:10:11 GMT 2023","Wed Jul 19 13:10:11 GMT 2023","245","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:10:14 GMT 2023","Wed Jul 19 13:10:14 GMT 2023","218","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:09:44 GMT 2023","Wed Jul 19 13:09:44 GMT 2023","143","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
