"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 12:37:01 GMT 2023","Wed Jul 19 12:37:01 GMT 2023","199","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar status code","Validar status code",""
"broken","Wed Jul 19 12:37:12 GMT 2023","Wed Jul 19 12:37:13 GMT 2023","445","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:37:20 GMT 2023","Wed Jul 19 12:37:21 GMT 2023","403","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:37:15 GMT 2023","Wed Jul 19 12:37:15 GMT 2023","285","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:37:01 GMT 2023","Wed Jul 19 12:37:01 GMT 2023","199","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
"passed","Wed Jul 19 12:37:01 GMT 2023","Wed Jul 19 12:37:01 GMT 2023","230","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"broken","Wed Jul 19 12:37:32 GMT 2023","Wed Jul 19 12:37:32 GMT 2023","407","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:37:06 GMT 2023","Wed Jul 19 12:37:07 GMT 2023","405","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:36:59 GMT 2023","Wed Jul 19 12:37:00 GMT 2023","807","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"broken","Wed Jul 19 12:37:04 GMT 2023","Wed Jul 19 12:37:04 GMT 2023","541","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:37:29 GMT 2023","Wed Jul 19 12:37:29 GMT 2023","403","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:37:23 GMT 2023","Wed Jul 19 12:37:24 GMT 2023","414","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:37:00 GMT 2023","Wed Jul 19 12:37:01 GMT 2023","232","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"passed","Wed Jul 19 12:37:00 GMT 2023","Wed Jul 19 12:37:00 GMT 2023","211","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar status code","Validar status code",""
"broken","Wed Jul 19 12:37:26 GMT 2023","Wed Jul 19 12:37:26 GMT 2023","402","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 12:37:09 GMT 2023","Wed Jul 19 12:37:10 GMT 2023","443","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 12:37:18 GMT 2023","Wed Jul 19 12:37:18 GMT 2023","304","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
