"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 18 20:12:23 GMT 2023","Tue Jul 18 20:12:23 GMT 2023","185","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"broken","Tue Jul 18 20:12:28 GMT 2023","Tue Jul 18 20:12:28 GMT 2023","327","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 20:12:46 GMT 2023","Tue Jul 18 20:12:46 GMT 2023","343","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:12:23 GMT 2023","Tue Jul 18 20:12:23 GMT 2023","165","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
"passed","Tue Jul 18 20:12:22 GMT 2023","Tue Jul 18 20:12:22 GMT 2023","679","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"broken","Tue Jul 18 20:12:51 GMT 2023","Tue Jul 18 20:12:51 GMT 2023","332","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 20:12:25 GMT 2023","Tue Jul 18 20:12:26 GMT 2023","411","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:12:36 GMT 2023","Tue Jul 18 20:12:36 GMT 2023","243","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 20:12:30 GMT 2023","Tue Jul 18 20:12:31 GMT 2023","332","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 20:12:48 GMT 2023","Tue Jul 18 20:12:49 GMT 2023","318","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:12:38 GMT 2023","Tue Jul 18 20:12:38 GMT 2023","238","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:12:23 GMT 2023","Tue Jul 18 20:12:23 GMT 2023","162","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar status code","Validar status code",""
"broken","Tue Jul 18 20:12:41 GMT 2023","Tue Jul 18 20:12:41 GMT 2023","316","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:12:22 GMT 2023","Tue Jul 18 20:12:23 GMT 2023","181","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"broken","Tue Jul 18 20:12:33 GMT 2023","Tue Jul 18 20:12:33 GMT 2023","341","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 20:12:43 GMT 2023","Tue Jul 18 20:12:44 GMT 2023","347","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 20:12:22 GMT 2023","Tue Jul 18 20:12:22 GMT 2023","165","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar status code","Validar status code",""
