"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 18 19:53:47 GMT 2023","Tue Jul 18 19:53:47 GMT 2023","440","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:53:45 GMT 2023","Tue Jul 18 19:53:45 GMT 2023","152","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar status code","Validar status code",""
"broken","Tue Jul 18 19:54:13 GMT 2023","Tue Jul 18 19:54:14 GMT 2023","331","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:53:43 GMT 2023","Tue Jul 18 19:53:44 GMT 2023","634","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"passed","Tue Jul 18 19:53:57 GMT 2023","Tue Jul 18 19:53:58 GMT 2023","233","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 19:54:05 GMT 2023","Tue Jul 18 19:54:06 GMT 2023","341","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:53:44 GMT 2023","Tue Jul 18 19:53:44 GMT 2023","172","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar status code","Validar status code",""
"broken","Tue Jul 18 19:54:03 GMT 2023","Tue Jul 18 19:54:03 GMT 2023","327","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:53:44 GMT 2023","Tue Jul 18 19:53:44 GMT 2023","166","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
"passed","Tue Jul 18 19:53:45 GMT 2023","Tue Jul 18 19:53:45 GMT 2023","178","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"passed","Tue Jul 18 19:53:44 GMT 2023","Tue Jul 18 19:53:44 GMT 2023","171","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"broken","Tue Jul 18 19:53:55 GMT 2023","Tue Jul 18 19:53:55 GMT 2023","335","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 19:54:11 GMT 2023","Tue Jul 18 19:54:11 GMT 2023","329","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 19:53:52 GMT 2023","Tue Jul 18 19:53:53 GMT 2023","341","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 19:53:50 GMT 2023","Tue Jul 18 19:53:50 GMT 2023","337","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 19:54:08 GMT 2023","Tue Jul 18 19:54:08 GMT 2023","334","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:54:00 GMT 2023","Tue Jul 18 19:54:00 GMT 2023","295","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
