"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 18 18:59:43 GMT 2023","Tue Jul 18 18:59:43 GMT 2023","247","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 18:59:46 GMT 2023","Tue Jul 18 18:59:46 GMT 2023","238","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 18:59:37 GMT 2023","Tue Jul 18 18:59:38 GMT 2023","251","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 18:59:35 GMT 2023","Tue Jul 18 18:59:35 GMT 2023","207","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 18:59:19 GMT 2023","Tue Jul 18 18:59:19 GMT 2023","168","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
"passed","Tue Jul 18 18:59:19 GMT 2023","Tue Jul 18 18:59:19 GMT 2023","164","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"passed","Tue Jul 18 18:59:19 GMT 2023","Tue Jul 18 18:59:19 GMT 2023","145","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar status code","Validar status code",""
"passed","Tue Jul 18 18:59:18 GMT 2023","Tue Jul 18 18:59:19 GMT 2023","154","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar status code","Validar status code",""
"passed","Tue Jul 18 18:59:24 GMT 2023","Tue Jul 18 18:59:25 GMT 2023","933","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 18:59:29 GMT 2023","Tue Jul 18 18:59:30 GMT 2023","780","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 18:59:48 GMT 2023","Tue Jul 18 18:59:48 GMT 2023","230","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 18:59:19 GMT 2023","Tue Jul 18 18:59:19 GMT 2023","170","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"passed","Tue Jul 18 18:59:32 GMT 2023","Tue Jul 18 18:59:32 GMT 2023","200","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 18:59:22 GMT 2023","Tue Jul 18 18:59:22 GMT 2023","249","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 18:59:18 GMT 2023","Tue Jul 18 18:59:18 GMT 2023","507","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"passed","Tue Jul 18 18:59:27 GMT 2023","Tue Jul 18 18:59:27 GMT 2023","264","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 18:59:40 GMT 2023","Tue Jul 18 18:59:41 GMT 2023","780","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
