"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 19 13:07:32 GMT 2023","Wed Jul 19 13:07:32 GMT 2023","271","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:07:27 GMT 2023","Wed Jul 19 13:07:27 GMT 2023","204","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 13:07:29 GMT 2023","Wed Jul 19 13:07:29 GMT 2023","264","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:07:11 GMT 2023","Wed Jul 19 13:07:11 GMT 2023","141","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar status code","Validar status code",""
"broken","Wed Jul 19 13:07:37 GMT 2023","Wed Jul 19 13:07:37 GMT 2023","287","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:07:10 GMT 2023","Wed Jul 19 13:07:10 GMT 2023","492","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"passed","Wed Jul 19 13:07:24 GMT 2023","Wed Jul 19 13:07:24 GMT 2023","203","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 13:07:22 GMT 2023","Wed Jul 19 13:07:22 GMT 2023","263","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:07:10 GMT 2023","Wed Jul 19 13:07:11 GMT 2023","154","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"broken","Wed Jul 19 13:07:19 GMT 2023","Wed Jul 19 13:07:19 GMT 2023","283","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 13:07:40 GMT 2023","Wed Jul 19 13:07:40 GMT 2023","290","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:07:10 GMT 2023","Wed Jul 19 13:07:10 GMT 2023","147","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar status code","Validar status code",""
"broken","Wed Jul 19 13:07:14 GMT 2023","Wed Jul 19 13:07:14 GMT 2023","388","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 13:07:16 GMT 2023","Wed Jul 19 13:07:17 GMT 2023","276","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"broken","Wed Jul 19 13:07:34 GMT 2023","Wed Jul 19 13:07:35 GMT 2023","275","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 19 13:07:11 GMT 2023","Wed Jul 19 13:07:11 GMT 2023","164","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"passed","Wed Jul 19 13:07:11 GMT 2023","Wed Jul 19 13:07:11 GMT 2023","157","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
